freq_hz,mean_psd_c0_db,std_psd_c0_db,mean_psd_c1_db,std_psd_c1_db,p_value,-log10_p
0.0,2.5046973,11.741927,2.5618563,10.745039,0.011032824142721016,1.9573133041864925
0.78125,11.166302,10.897173,11.217218,9.731895,0.013613198883278797,1.8660398105705922
1.5625,8.495676,10.271119,8.566576,9.032643,0.00024679298013186235,3.6076671976912857
2.34375,5.0394044,9.465333,5.1188884,8.151877,6.871413082258301e-06,5.1629539426026145
3.125,2.762878,8.97483,2.8425496,7.592973,1.6779680779914175e-06,5.775216305535953
3.90625,1.0827031,8.634548,1.1719049,7.209583,2.0634801963078475e-08,7.685399694790197
4.6875,-0.06960924,8.381613,0.02307501,6.914885,1.6330907479658287e-09,8.786989681616195
5.46875,-1.0334601,8.176603,-0.9451046,6.6762238,3.270608393014767e-09,8.48537145310345
6.25,-1.8161228,8.0330305,-1.7428157,6.518954,5.44491266863035e-07,6.26400908153467
7.03125,-2.423698,7.967398,-2.3429232,6.4438357,2.4550849732844552e-08,7.6099334718546965
7.8125,-3.049878,7.90689,-2.958049,6.3784103,1.6367529463933912e-10,9.786016868612021
8.59375,-3.774999,7.830661,-3.6683767,6.2906556,6.294705376073319e-14,13.201024592250318
9.375,-3.8747797,8.137367,-3.7323432,6.696583,1.1735492774814435e-21,20.93049866960271
10.15625,-4.29879,8.358688,-4.1520777,6.979724,1.735711535955797e-21,20.760522450099778
10.9375,-5.7826986,7.84403,-5.653437,6.344681,1.373125509302638e-19,18.862289764652278
11.71875,-6.811402,7.6142416,-6.7131186,6.0303035,8.030640074549203e-13,12.095249838312062
12.5,-7.234416,7.6136813,-7.133794,6.021002,2.1129112093809857e-13,12.67511875287012
13.28125,-7.496927,7.617857,-7.3948026,6.0614295,1.2741013482825308e-13,12.894796024709285
14.0625,-7.751086,7.641665,-7.650891,6.095126,4.1248041393240294e-13,12.384596668503214
14.84375,-7.957195,7.6878066,-7.8610816,6.1239524,5.010989440161804e-12,11.300076512460935
15.625,-8.197902,7.593721,-8.097685,6.0108376,2.589419637032878e-13,12.586797562821312
16.40625,-8.438393,7.481246,-8.338581,5.8763776,1.2026162462011616e-13,12.919872933545685
17.1875,-8.514171,7.484518,-8.429201,5.8796716,2.6363458565985454e-10,9.578997616172337
